Iteration,XGBoost,LightGBM,CatBoost
1,0.782608695652174,0.7391304347826086,0.8260869565217391
2,0.782608695652174,0.7391304347826086,0.8260869565217391
3,0.782608695652174,0.7391304347826086,0.8260869565217391
4,0.782608695652174,0.7391304347826086,0.8260869565217391
5,0.8260869565217391,0.7391304347826086,0.8260869565217391
6,0.8260869565217391,0.7391304347826086,0.8695652173913043
7,0.8260869565217391,0.7391304347826086,0.8695652173913043
8,0.8260869565217391,0.7391304347826086,0.8695652173913043
9,0.8260869565217391,0.7391304347826086,0.8695652173913043
10,0.8260869565217391,0.7391304347826086,0.8695652173913043
11,0.8260869565217391,0.7391304347826086,0.8695652173913043
12,0.8260869565217391,0.7391304347826086,0.8695652173913043
13,0.8260869565217391,0.7391304347826086,0.8695652173913043
14,0.8260869565217391,0.7391304347826086,0.8695652173913043
15,0.8260869565217391,0.7391304347826086,0.8695652173913043
16,0.8260869565217391,0.7391304347826086,0.8695652173913043
17,0.8260869565217391,0.7391304347826086,0.8695652173913043
18,0.8260869565217391,0.7391304347826086,0.8695652173913043
19,0.8260869565217391,0.7391304347826086,0.8695652173913043
20,0.8260869565217391,0.7391304347826086,0.8695652173913043
